x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,value,Timestamp
2,2,2,1,2,2,0,0,2,0,3,1,0,0,3,2,1,0,2,3,0,1,2,1,1,0,3,2,0,0,0,2,0,0,1,3,1,2,0,3,0,2,0,1,3,3,2,2,0,3,1,0,0,2,1,1,1,1,1,2,0,0,0,0,3,3,3,3,0,3,2,2,-44.44845897188955,878
1,0,0,2,3,2,0,3,1,2,0,2,2,0,3,0,3,3,2,0,0,3,3,1,0,0,2,1,2,0,2,0,2,1,1,1,0,0,2,2,0,2,3,2,2,3,1,3,0,3,0,3,3,0,3,2,3,2,2,2,2,2,2,0,2,1,1,2,3,2,3,1,-45.64436692176655,939
3,3,1,2,2,2,3,2,1,3,3,0,1,2,2,2,1,3,1,0,0,1,0,0,2,2,1,1,1,2,2,3,0,0,0,2,0,1,2,0,2,1,2,3,1,0,1,0,1,0,1,1,3,0,1,0,0,0,2,2,2,3,3,0,1,2,2,0,3,0,0,1,-46.261422446128215,1000
0,3,1,0,1,2,0,3,0,2,0,1,0,1,2,2,2,2,0,2,0,3,2,0,0,1,1,2,3,3,3,0,1,2,2,1,2,3,3,3,0,3,3,1,0,0,2,2,1,2,1,3,0,0,3,2,0,0,1,2,0,1,1,1,2,1,3,0,3,2,0,0,-48.003448616378414,1053
3,2,2,1,0,0,3,3,1,1,2,3,3,1,3,1,1,1,0,1,1,3,0,0,1,0,3,0,0,0,2,2,3,3,2,0,3,1,0,3,3,1,0,1,3,2,0,1,2,2,2,3,3,2,1,1,2,0,1,2,2,1,1,0,3,3,2,3,1,2,3,1,-46.691603680942954,1111
2,0,2,2,0,2,1,2,2,2,0,0,0,1,2,0,2,3,3,2,3,0,2,2,0,1,3,2,0,1,1,2,0,2,0,0,1,3,1,3,2,3,0,1,3,1,3,3,2,3,3,0,1,3,2,3,1,2,1,1,0,0,2,0,0,1,3,2,1,3,1,1,-58.09519500213381,1246
2,0,0,0,3,3,3,0,1,3,0,2,1,0,2,0,1,2,1,1,0,0,1,1,2,2,2,0,2,3,1,1,2,1,3,2,2,3,1,0,3,3,1,2,1,2,1,0,2,1,0,3,2,0,3,3,1,1,0,3,1,3,2,0,1,3,0,2,3,1,2,0,-37.459355234868234,1305
0,1,1,3,1,1,2,0,1,3,0,3,2,2,1,1,3,1,3,0,0,2,1,3,2,3,0,1,2,0,0,0,2,2,1,1,2,0,1,0,0,0,3,2,3,0,1,1,3,0,3,1,0,1,3,2,1,2,3,1,1,3,0,1,3,0,1,3,0,1,0,0,-46.05554626013179,1357
1,2,3,0,2,1,3,2,2,1,2,2,1,1,0,3,2,3,3,1,1,2,0,2,2,3,1,1,2,0,0,3,0,2,2,1,2,2,1,2,1,1,2,3,2,1,1,0,1,0,3,0,0,3,3,1,2,0,1,3,1,0,3,1,1,1,3,2,0,2,2,1,-44.67827686837784,1423
0,3,1,0,1,2,1,0,1,3,2,1,2,3,2,0,0,2,2,1,0,1,2,1,2,3,0,0,2,0,1,1,3,1,0,3,3,2,3,0,2,2,0,1,1,1,2,3,2,2,3,3,1,0,2,1,3,2,0,0,2,1,2,1,0,0,3,0,1,3,0,1,-60.62059429843859,1482
1,2,2,3,2,2,2,3,1,0,0,1,1,2,2,1,3,3,0,1,1,0,0,1,2,0,1,0,3,2,2,1,1,2,3,2,1,1,0,3,0,1,0,3,2,0,0,3,0,0,3,1,3,0,0,3,1,2,3,0,2,3,2,1,2,3,2,2,0,0,0,2,-59.7925437026065,1537
2,0,1,1,1,0,3,3,3,0,2,0,0,3,1,0,3,1,0,3,1,1,3,0,2,1,2,3,2,0,2,0,1,2,2,0,2,3,0,2,3,3,3,3,3,2,1,1,2,1,3,3,3,3,0,0,1,3,3,1,1,1,2,2,1,2,2,3,0,2,3,3,-34.33232392692555,1611
3,3,1,0,3,2,1,3,0,3,0,1,3,1,2,3,3,0,3,3,2,1,3,0,0,1,0,1,2,0,2,1,1,2,3,0,0,3,1,0,1,3,0,2,3,2,2,1,2,1,3,0,2,3,1,0,1,1,2,2,2,0,1,2,3,0,3,2,3,3,2,3,-46.67467648704091,1674
0,2,3,2,3,2,0,1,0,3,2,1,2,1,2,0,0,3,2,0,3,0,2,1,0,3,0,2,3,3,1,2,2,2,3,1,1,1,1,1,0,0,0,0,0,2,0,1,3,2,3,1,2,3,3,1,0,1,0,2,0,1,1,1,0,3,2,2,3,0,0,0,-45.79458333102451,1747
1,1,0,3,0,3,1,3,3,0,0,1,0,3,2,3,3,1,3,2,3,2,3,0,3,3,3,2,1,2,0,3,0,0,1,1,3,2,0,0,1,2,1,3,3,1,2,0,0,0,1,2,1,0,1,2,0,2,2,1,2,1,1,0,1,0,2,1,1,2,2,2,-48.592936915763495,1871
1,0,3,0,0,1,1,0,3,1,1,0,0,2,1,0,0,3,3,3,1,3,3,1,1,3,0,1,3,1,0,0,2,3,2,0,0,0,3,0,3,2,3,1,2,0,0,2,2,2,1,1,3,2,1,3,1,0,0,3,3,3,1,0,3,3,0,3,2,3,2,1,-47.996143570694045,1924
2,0,2,1,3,3,0,3,3,3,0,0,2,1,2,3,2,2,1,0,2,3,0,2,3,1,0,1,1,2,3,3,2,3,3,2,2,0,2,1,3,2,3,3,1,1,2,3,1,3,1,0,2,1,0,3,0,2,3,1,3,3,1,2,1,1,3,1,1,2,2,3,-46.92889034638491,1986
3,3,2,2,3,3,3,0,3,1,0,3,3,2,0,0,1,2,1,1,2,3,2,2,0,1,3,2,2,0,0,3,0,2,2,3,2,0,1,2,3,1,0,0,2,0,2,3,1,3,3,1,3,1,1,3,1,1,3,2,3,0,0,2,0,3,1,1,1,1,1,1,-46.3076005176388,2040
3,2,2,0,2,3,3,0,1,2,1,1,3,0,2,0,0,2,1,0,0,2,0,3,0,2,0,1,3,2,1,1,0,2,2,3,2,3,3,0,1,0,1,3,2,2,1,1,0,3,3,2,2,3,0,0,2,1,3,1,1,0,3,3,1,2,2,2,1,2,0,0,-46.871079902954236,2093
0,0,3,0,3,2,1,3,1,3,2,3,1,1,1,2,2,0,2,1,0,0,0,1,2,0,0,3,0,3,1,1,0,3,0,1,0,0,3,2,1,2,2,1,3,3,0,1,3,1,3,3,2,3,1,2,1,2,3,0,1,1,0,1,0,2,1,3,3,3,0,3,-48.51595847700147,2144
1,0,3,1,3,1,2,2,2,2,0,2,1,3,1,3,1,0,2,1,1,2,3,1,2,3,1,0,2,0,1,2,2,0,1,0,0,0,1,2,3,0,2,0,1,2,2,0,1,1,2,3,2,0,2,3,2,2,1,2,3,3,0,0,0,3,0,3,3,0,3,3,-46.84740882773044,2200
0,3,3,3,0,0,0,3,1,1,2,0,3,2,3,0,2,1,1,3,3,2,2,0,2,1,1,3,2,0,0,3,2,2,1,2,0,3,3,3,0,1,2,1,3,0,0,0,1,0,3,1,1,2,3,3,2,2,3,3,2,1,1,0,3,3,0,0,2,3,1,3,-46.77311874021278,2255
3,2,1,1,0,3,1,2,1,3,3,1,0,1,3,3,3,1,2,2,1,3,2,2,0,0,0,0,3,2,0,0,1,0,1,0,3,2,0,1,2,1,3,1,2,0,1,1,2,1,2,2,0,3,3,0,3,1,1,3,2,0,0,0,2,1,1,0,2,2,1,1,-46.741766795966775,2383
3,2,2,2,2,3,1,3,3,0,1,2,2,0,0,0,1,0,0,0,0,2,1,3,3,0,2,1,3,0,1,0,1,1,3,1,2,3,1,2,3,0,2,3,3,1,1,0,2,1,2,3,3,3,3,1,0,1,1,0,3,0,3,3,3,1,3,2,0,0,0,3,-47.01512019820056,2434
1,3,3,2,1,2,2,0,3,0,1,1,2,3,0,0,1,1,1,2,3,3,3,2,1,0,2,1,0,2,1,0,3,3,3,2,1,0,2,0,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,0,3,0,3,2,2,2,1,1,1,3,3,0,0,0,-46.26778620661358,2488
1,1,0,0,2,0,2,3,0,0,2,3,1,2,1,2,3,3,1,2,0,3,0,2,1,1,0,3,1,0,3,2,3,0,3,1,1,3,3,0,0,0,3,0,0,2,3,1,3,2,0,2,0,3,1,0,3,1,3,3,1,2,1,2,2,0,0,2,0,0,0,2,-46.63978269350098,2541
2,2,3,0,3,2,3,3,2,3,2,1,0,1,2,2,1,2,0,1,0,3,3,2,2,2,2,1,3,3,2,2,1,1,2,2,0,1,2,3,1,1,1,2,3,2,2,3,3,2,0,3,3,2,0,2,1,0,2,0,2,1,0,1,1,0,3,0,2,0,3,0,-48.5641838878289,2594
0,1,1,1,1,3,3,2,0,2,2,2,3,2,0,1,2,0,3,1,0,2,3,0,2,3,1,0,3,1,2,2,3,3,3,0,2,0,0,3,0,0,3,2,2,0,0,1,0,2,2,1,0,1,1,2,3,1,1,1,3,3,2,0,1,0,2,0,2,0,1,2,-31.601332386547966,2648
0,3,1,3,3,0,2,3,0,1,0,0,2,1,3,2,0,3,2,2,3,3,0,1,0,3,0,1,3,1,3,3,1,1,1,2,1,1,2,0,3,0,0,2,1,2,0,1,0,1,3,1,2,2,0,2,0,2,3,3,3,3,0,0,1,3,3,3,2,0,2,1,-59.905754667969724,2702
0,0,0,3,0,2,3,1,1,3,0,1,2,2,2,0,0,2,1,1,1,2,1,1,2,3,2,1,0,1,2,2,0,1,3,1,0,3,2,2,1,1,0,3,1,0,3,2,0,1,2,2,0,1,3,1,2,3,1,1,2,1,1,1,3,0,3,1,3,0,3,1,-34.41549684934537,2760
1,3,1,3,3,3,2,3,0,2,3,2,0,2,3,1,3,1,2,3,1,3,1,2,3,3,0,3,3,2,3,1,0,1,1,0,1,1,3,1,3,1,3,2,0,0,1,0,1,2,3,0,0,2,1,0,2,0,1,0,2,3,1,3,0,2,0,2,0,1,3,2,-46.56942326995421,2911
2,2,2,3,1,2,0,2,1,0,0,0,1,0,1,0,0,2,2,1,2,3,1,2,1,2,2,3,2,1,3,2,3,3,2,2,3,0,1,1,3,0,0,1,0,3,3,3,1,0,1,2,0,0,0,0,3,3,3,3,0,2,1,0,2,2,3,0,1,1,3,2,-46.9306584230592,2963
0,2,2,1,0,2,0,2,2,1,1,2,1,3,1,3,0,2,0,1,2,0,2,3,0,1,0,2,3,3,1,1,2,2,1,0,0,1,1,1,1,3,0,2,2,1,0,2,1,0,1,0,0,1,1,0,2,2,0,1,1,3,3,0,2,1,3,0,3,1,2,3,-46.70889927181912,3013
3,1,0,0,3,0,3,2,2,0,1,0,2,3,1,2,2,2,1,0,1,1,3,3,2,0,3,3,1,1,0,1,1,3,1,1,0,3,1,2,3,0,2,0,3,1,2,0,2,2,2,3,3,2,3,3,2,2,2,2,0,1,2,0,3,1,1,3,1,1,1,3,-47.27096761902821,3066
3,1,3,1,2,3,2,2,1,2,3,2,1,2,3,1,2,2,0,1,3,3,0,0,2,2,0,1,3,3,1,2,0,2,1,1,1,2,3,2,0,3,0,2,0,0,3,0,3,3,3,3,2,3,3,1,2,0,3,0,2,3,3,0,2,3,2,0,3,2,0,0,-48.90608318048992,3117
1,0,0,1,1,0,0,1,1,2,3,1,3,1,0,3,2,2,2,1,2,0,1,0,2,3,2,3,3,2,0,2,1,1,0,2,3,2,1,3,0,3,3,0,1,3,1,2,1,3,0,2,0,2,0,3,0,0,3,3,2,0,0,3,0,2,1,1,2,0,2,3,-42.879218694509184,3169
0,2,1,3,1,0,1,3,0,3,0,0,0,1,2,3,2,1,2,0,2,3,0,0,2,0,0,2,2,2,3,2,2,0,2,3,1,1,3,1,2,1,0,2,1,3,3,1,3,0,3,0,0,1,1,3,1,3,3,2,3,2,3,0,1,3,1,0,1,2,0,3,-48.53314145948089,3221
0,0,2,1,3,3,3,0,3,1,1,2,3,0,0,2,0,3,1,3,1,0,3,2,3,2,0,1,3,0,2,3,2,1,1,0,0,3,1,1,3,0,0,3,1,0,3,3,3,0,0,3,1,0,0,2,2,0,1,2,2,0,2,2,0,2,1,1,1,1,3,3,-45.55800345413592,3271
3,3,1,1,3,2,1,0,1,1,0,0,0,3,0,2,1,3,3,1,0,3,1,0,3,1,0,0,0,2,3,1,0,2,2,2,1,2,3,1,0,2,1,0,1,3,2,3,3,3,0,1,1,2,3,1,0,2,2,2,2,3,1,2,1,1,1,0,1,0,2,2,-46.53073336748794,3402
3,2,3,3,3,2,0,3,2,2,0,0,3,3,3,1,2,0,3,0,1,2,2,3,1,0,3,0,2,1,0,3,2,1,1,2,2,2,3,2,1,0,2,2,1,2,2,0,3,3,0,0,0,2,0,1,1,0,3,0,3,2,2,2,1,3,0,2,0,3,0,3,-47.14387369767496,3452
2,2,1,0,2,1,3,1,1,2,0,1,3,1,0,2,0,3,2,3,1,3,2,1,2,1,0,2,3,3,1,1,2,0,1,2,3,0,1,1,1,2,2,3,0,2,0,2,1,1,3,3,1,1,3,2,2,3,0,3,1,0,2,1,3,2,1,1,3,1,0,2,-45.07550692213324,3508
1,2,0,3,3,0,1,2,0,2,1,1,3,3,2,2,2,2,0,2,3,3,0,2,2,1,0,3,1,2,3,2,0,0,2,3,3,1,1,1,0,2,0,0,3,0,2,2,0,1,3,0,1,1,0,3,1,0,1,1,1,2,3,3,2,3,3,2,0,3,1,1,-45.47403054003625,3563
2,1,1,2,3,1,1,2,3,2,0,2,1,0,2,0,3,0,2,2,0,2,2,1,1,1,3,0,3,2,2,3,3,2,2,1,2,3,3,0,3,2,1,1,2,1,3,0,3,2,1,0,0,1,2,0,0,0,1,1,0,3,3,3,1,3,0,1,3,1,1,0,-46.19176137190065,3617
3,1,0,3,2,1,3,0,2,3,1,0,3,0,3,2,3,2,0,0,3,0,3,2,3,2,0,3,0,1,1,1,1,0,0,1,2,1,1,1,2,2,3,0,1,1,1,0,1,1,3,0,1,1,1,3,3,3,1,3,3,0,1,3,0,3,1,3,3,3,0,3,-48.14456281765969,3673
2,0,3,2,1,0,3,3,3,1,0,1,2,0,1,0,3,0,2,0,1,2,2,0,1,0,1,3,3,1,2,1,1,2,3,1,2,2,3,3,2,2,2,0,2,1,2,3,1,3,1,3,2,1,0,0,2,3,3,1,1,0,0,0,2,2,3,1,1,2,3,2,-47.80050305304083,3724
3,0,3,0,1,3,0,2,2,0,0,0,0,1,0,2,1,2,0,0,3,3,0,1,2,3,0,1,2,2,0,3,2,0,0,3,2,1,0,1,2,1,2,3,2,2,2,3,2,0,1,0,1,3,1,3,3,1,0,0,1,0,3,2,2,3,0,2,3,0,1,1,-45.3931577340707,3771
3,0,3,1,1,2,0,0,0,3,3,0,1,2,2,0,1,2,2,0,2,0,1,0,3,0,0,3,3,3,0,3,1,1,2,2,2,1,1,3,3,1,3,1,1,3,2,2,0,1,0,3,0,2,0,2,0,2,1,3,1,1,0,0,2,2,1,2,3,0,0,1,-47.69697390030268,3900
0,0,0,1,2,3,0,1,3,0,3,0,1,1,1,1,3,3,2,3,2,2,2,2,3,2,1,2,0,1,3,1,2,3,2,3,0,0,2,3,2,0,1,1,1,3,2,1,3,0,0,1,3,0,0,0,2,3,0,0,1,2,2,0,3,2,2,3,1,1,2,0,-46.74491362878648,3956
0,3,3,1,2,3,3,3,1,3,3,1,3,0,2,2,3,3,3,3,2,3,0,0,1,0,1,2,3,2,2,2,1,0,1,0,3,2,2,2,1,1,2,2,0,3,0,2,2,3,3,1,2,0,1,1,2,2,2,0,1,2,2,1,2,2,2,3,3,2,2,1,-46.73509107608351,4011
2,3,0,3,1,0,1,0,0,0,2,2,1,2,3,1,1,1,0,1,1,3,0,0,2,0,2,1,1,0,2,2,1,3,0,0,3,2,1,3,0,0,3,0,1,2,2,0,3,2,0,1,0,1,2,0,2,1,0,1,3,3,0,2,1,0,1,1,0,1,0,3,-47.261863449842465,4069
0,0,2,2,1,0,2,1,1,2,2,2,3,0,1,2,2,2,1,2,0,1,1,3,2,1,0,3,3,0,1,3,2,3,0,3,2,3,0,2,0,0,2,1,3,0,3,2,1,1,0,2,2,1,1,0,3,3,2,2,0,2,0,1,0,2,0,2,1,3,3,2,-46.70764382218975,4124
1,2,0,3,3,2,0,1,1,2,2,0,0,0,3,3,0,2,1,1,2,2,1,0,0,3,0,1,1,0,3,0,0,3,0,1,0,2,3,3,3,3,3,1,2,0,0,1,2,0,1,0,0,1,2,3,2,1,1,1,0,0,2,1,3,3,0,2,3,2,3,3,-46.701114496128056,4178
3,2,1,2,2,2,2,3,0,0,2,2,3,3,3,2,1,1,0,0,0,1,1,3,0,0,1,0,1,1,0,0,3,0,3,3,1,2,1,0,3,1,3,2,0,1,1,3,3,1,3,0,1,2,3,2,1,0,1,1,1,1,2,2,2,3,0,0,1,3,3,0,-46.9242590561046,4234
0,1,3,3,0,3,1,3,2,2,1,3,2,2,0,3,1,0,2,0,0,2,3,0,3,1,3,0,3,0,3,0,1,2,1,3,0,2,3,1,0,3,2,0,2,0,0,0,3,2,0,3,1,1,0,0,0,2,2,1,3,3,3,0,2,2,1,1,3,0,3,0,-48.03816654386017,4288
1,2,3,2,3,2,0,1,2,1,0,1,3,3,1,1,1,2,1,3,1,3,2,3,1,2,3,1,3,1,3,3,3,0,0,2,0,3,3,0,1,1,2,0,2,1,1,2,0,1,2,0,3,2,0,2,0,3,3,2,1,1,1,2,3,3,1,3,1,3,0,1,-46.623785764038395,4343
2,1,2,2,2,2,2,0,3,1,2,2,1,3,1,3,3,1,2,2,1,0,1,3,3,2,0,0,1,1,3,2,3,0,3,3,1,0,2,1,3,2,1,0,1,0,3,2,0,3,0,1,0,0,0,0,0,0,3,0,3,3,3,0,3,1,1,1,3,3,3,0,-47.897382186373086,4491
3,0,3,2,1,3,1,0,0,0,1,2,2,3,0,1,0,0,3,3,0,2,1,0,3,1,0,1,2,1,1,0,3,2,0,1,0,2,2,3,1,2,3,1,0,1,3,3,3,3,0,0,1,0,3,3,1,0,2,3,3,1,1,2,0,1,3,0,3,1,0,2,-46.765880701188195,4547
3,3,2,3,0,2,0,0,1,0,2,3,0,1,1,1,0,1,1,2,0,3,0,2,2,1,3,2,1,2,3,2,2,3,2,3,1,0,2,2,3,1,3,2,3,1,3,3,0,0,3,2,2,2,1,1,1,0,3,0,2,0,0,1,1,1,3,1,2,2,2,2,-47.19445347739773,4603
0,1,3,2,0,2,3,1,2,1,0,1,1,1,2,2,1,2,2,2,2,1,3,2,3,2,3,1,3,2,2,2,0,1,0,2,1,3,2,0,2,0,0,2,3,2,0,0,0,0,0,2,3,3,0,2,0,1,2,3,1,2,1,2,0,2,3,1,0,1,1,3,-47.539112110958115,4661
3,0,0,2,2,3,2,3,1,1,2,1,1,3,3,1,3,0,3,3,1,3,1,2,3,2,3,0,0,2,3,1,1,2,1,2,0,0,1,2,1,2,1,2,3,1,3,1,1,2,2,3,0,2,2,2,2,0,2,2,0,2,2,3,3,0,1,0,3,0,3,1,-45.7322216412198,4714
0,0,2,1,3,2,2,2,0,1,2,1,0,0,3,1,1,3,1,1,3,0,3,3,2,0,0,1,2,1,3,2,1,0,0,1,2,3,2,3,3,1,3,2,3,0,3,1,3,0,3,2,0,2,3,3,3,2,3,1,3,3,0,3,3,0,3,3,3,3,0,0,-44.547914145419185,4767
2,1,3,0,3,0,0,3,3,0,0,1,3,1,0,1,1,1,3,1,3,0,2,0,2,3,1,2,1,3,3,2,1,0,0,0,1,0,2,0,0,3,0,1,1,1,2,0,2,3,0,3,1,3,3,1,0,0,0,1,3,0,3,2,1,2,0,2,3,2,1,0,-35.46387318295819,4821
1,3,3,3,3,1,1,2,0,0,3,1,0,1,1,2,2,1,1,2,3,0,0,3,0,2,0,1,3,0,2,3,1,2,2,0,1,0,0,1,3,2,3,3,2,3,1,3,3,1,2,1,2,2,3,0,2,2,2,3,3,0,2,2,3,3,1,0,0,2,3,3,-48.23465811543209,4876
3,3,2,2,2,0,2,2,2,3,0,3,1,0,2,3,0,0,2,1,3,1,0,1,1,3,1,0,2,3,3,2,2,0,1,2,0,3,3,3,1,2,1,1,1,1,0,1,3,0,2,1,2,0,0,3,3,1,1,3,0,2,0,1,2,0,0,3,3,3,0,3,-45.8502124176167,4929
1,0,2,1,3,2,3,2,2,1,2,3,1,3,1,1,1,3,3,2,3,2,2,3,0,3,1,1,0,2,2,3,0,1,3,3,1,0,1,1,3,1,1,1,3,2,2,3,2,1,1,1,0,2,1,3,1,3,0,0,2,0,0,0,3,1,1,0,3,3,3,2,-49.126596746011096,5079
0,0,3,1,0,3,2,3,2,3,2,0,1,0,3,2,2,1,1,1,2,1,1,3,1,2,3,3,3,2,3,2,3,2,3,2,2,2,3,1,1,2,3,0,1,3,2,1,1,3,3,1,3,0,3,0,0,2,0,3,2,0,2,2,2,0,0,1,0,3,2,2,-47.38814599773401,5135
3,1,1,3,1,0,1,2,2,1,0,3,2,2,1,1,0,3,2,3,1,3,3,0,0,0,2,1,2,1,3,1,0,3,1,0,0,2,0,2,3,3,3,2,1,1,1,1,1,2,1,0,1,2,2,1,1,2,3,3,3,3,2,1,3,0,2,1,3,3,2,1,-46.50497517446636,5190
1,3,0,3,1,0,2,1,2,3,3,0,2,3,2,2,0,3,0,2,3,3,1,3,0,1,3,0,1,0,1,3,3,1,3,3,0,3,1,0,3,0,1,1,2,1,1,0,3,1,1,0,3,3,0,0,2,0,2,3,2,3,0,1,1,0,1,2,3,1,1,3,-48.115725481250024,5245
2,1,2,1,3,3,0,2,3,2,3,2,3,1,0,2,1,2,1,0,1,2,3,2,1,3,0,0,3,1,2,0,0,2,3,2,0,3,2,1,3,2,3,2,1,2,2,2,2,3,2,0,2,2,3,2,0,0,0,1,1,1,2,1,3,0,1,3,1,0,1,1,-47.911008648645485,5299
0,0,3,0,0,2,1,2,1,1,1,3,2,1,1,2,1,3,2,1,2,3,0,3,0,2,1,2,2,2,1,2,2,0,1,0,0,2,0,3,3,0,2,1,2,1,2,0,1,1,2,2,1,3,2,2,0,3,3,0,0,1,3,0,3,2,1,3,3,3,0,0,-46.8681557438473,5353
3,3,0,0,2,2,0,3,3,1,3,1,0,1,2,1,2,2,1,2,0,1,3,0,3,1,0,0,0,0,1,0,1,2,2,3,2,1,1,3,0,3,0,3,2,2,0,0,0,2,3,3,3,0,0,2,0,2,1,1,1,2,0,0,2,1,1,3,2,3,2,2,-44.222871299986856,5407
3,3,3,3,3,1,2,2,1,2,2,1,2,2,1,3,1,1,3,0,2,2,3,0,1,1,1,1,2,3,1,2,0,3,1,3,2,3,1,2,2,0,2,1,2,1,2,3,1,1,1,3,1,2,2,1,1,0,3,1,2,2,2,0,3,3,0,2,2,3,3,0,-46.958852111871025,5469
0,1,1,1,0,2,1,3,2,2,0,2,0,0,0,1,0,2,0,1,0,0,1,2,3,0,0,3,0,3,1,2,2,3,2,3,2,1,0,3,0,1,3,0,0,0,0,0,1,0,1,1,0,0,2,0,1,1,1,1,1,3,3,0,1,1,2,1,1,0,1,1,-47.66533049449496,5602
0,3,2,1,3,2,2,2,1,2,3,3,3,2,3,2,2,2,0,0,3,1,1,1,2,1,0,0,0,2,1,2,2,1,2,2,1,1,1,3,3,0,0,0,1,3,1,3,0,3,1,0,2,0,1,0,1,2,1,3,2,1,3,1,2,3,2,3,0,2,3,3,-34.33042743620651,5654
3,1,0,2,3,1,0,0,2,0,1,1,1,0,0,3,3,2,0,3,1,0,2,1,0,3,2,1,1,2,1,0,0,3,3,2,1,0,1,3,2,1,1,0,3,2,2,2,2,2,1,2,0,0,2,1,1,2,2,0,3,2,2,3,1,3,0,2,2,1,2,3,-46.83466374443721,5705
1,1,2,3,2,3,0,1,2,0,1,0,2,3,1,1,1,1,2,0,0,0,3,0,1,1,1,1,2,1,2,1,2,2,2,1,3,2,0,2,0,1,3,0,1,2,1,1,0,2,1,1,2,2,0,3,3,0,1,3,0,0,0,1,2,0,3,3,1,1,3,3,-48.37559044360454,5756
